Loggers,Shaded,Unshaded,Settlement,Intervention,Logger_Type,Baseline_Start,Intervention_Start,Post_Intervention_End
R-01,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-02,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-04,True,False,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-05,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-06,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-07,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-08,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-09,False,True,Rainbow Field,CONTROL,R,2024-06-04,2024-07-16,2024-08-06
R-10,True,False,Rainbow Field,CONTROL,R,2024-06-04,2024-07-16,2024-08-06
R-11,False,True,Rainbow Field,CONTROL,R,2024-06-04,2024-07-16,2024-08-06
R-12,False,True,Rainbow Field,CONTROL,R,2024-06-04,2024-07-16,2024-08-06
R-14,False,True,Rainbow Field,CONTROL,R,2024-06-04,2024-07-16,2024-08-06
R-15,True,False,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-16,True,False,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-17,False,True,Sports Complex,CONTROL,R,2024-06-04,2024-07-20,2024-08-06
R-20,False,False,Sports Complex,Unknown,R,2024-06-04,2024-07-20,2024-08-06
U-04,False,True,Rainbow Field,MEB,U,2024-06-04,2024-07-16,2024-08-06
U-05,True,False,Rainbow Field,MEB,U,2024-06-04,2024-07-16,2024-08-06
U-08,False,True,Rainbow Field,MEB,U,2024-06-04,2024-07-16,2024-08-06
U-09,False,True,Rainbow Field,RBF,U,2024-06-04,2024-07-16,2024-08-06
U-11,False,True,Rainbow Field,RBF,U,2024-06-04,2024-07-16,2024-08-06
U-12,False,True,Rainbow Field,MEB,U,2024-06-04,2024-07-16,2024-08-06
U-13,True,False,Rainbow Field,RBF,U,2024-06-04,2024-07-16,2024-08-06
U-14,False,True,Rainbow Field,RBF,U,2024-06-04,2024-07-16,2024-08-06
U-15,False,True,Rainbow Field,RBF,U,2024-06-04,2024-07-16,2024-08-06
U-16,False,True,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-17,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-18,False,True,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-19,True,False,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-20,True,False,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-21,True,False,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-22,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-23,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-25,False,True,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-26,False,False,Sports Complex,Unknown,U,2024-06-04,2024-07-20,2024-08-06
U-28,False,True,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-29,False,True,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-31,True,False,Sports Complex,MEB,U,2024-06-04,2024-07-20,2024-08-06
U-32,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-33,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-34,True,False,Sports Complex,CONTROL,U,2024-06-04,2024-07-20,2024-08-06
U-36,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-37,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
U-38,True,False,Sports Complex,RBF,U,2024-06-04,2024-07-20,2024-08-06
